sex	age	l	m	s
1	154	1.0	42.607601	0.028350
1	155	1.0	42.634899	0.028350
1	156	1.0	42.662102	0.028340
1	157	1.0	42.689201	0.028330
1	158	1.0	42.716000	0.028320
1	159	1.0	42.742699	0.028320
1	160	1.0	42.769299	0.028310
1	161	1.0	42.795700	0.028300
1	162	1.0	42.821899	0.028290
1	163	1.0	42.848000	0.028290
1	164	1.0	42.874001	0.028280
1	165	1.0	42.899700	0.028270
1	166	1.0	42.925400	0.028270
1	167	1.0	42.950901	0.028260
1	168	1.0	42.976200	0.028250
1	169	1.0	43.001400	0.028250
1	170	1.0	43.026402	0.028240
1	171	1.0	43.051300	0.028230
1	172	1.0	43.076099	0.028230
1	173	1.0	43.100700	0.028220
1	174	1.0	43.125198	0.028220
1	175	1.0	43.149502	0.028210
1	176	1.0	43.173698	0.028200
1	177	1.0	43.197800	0.028200
1	178	1.0	43.221699	0.028190
1	179	1.0	43.245499	0.028190
1	180	1.0	43.269100	0.028180
1	181	1.0	43.292702	0.028180
1	182	1.0	43.316002	0.028170
1	183	1.0	43.339298	0.028170
1	184	1.0	43.362400	0.028160
1	185	1.0	43.385399	0.028160
1	186	1.0	43.408298	0.028150
1	187	1.0	43.431000	0.028150
1	188	1.0	43.453602	0.028140
1	189	1.0	43.476101	0.028140
1	190	1.0	43.498402	0.028130
1	191	1.0	43.520599	0.028130
1	192	1.0	43.542702	0.028120
1	193	1.0	43.564701	0.028120
1	194	1.0	43.586498	0.028110
1	195	1.0	43.608200	0.028110
1	196	1.0	43.629799	0.028100
1	197	1.0	43.651299	0.028100
1	198	1.0	43.672699	0.028100
1	199	1.0	43.693901	0.028090
1	200	1.0	43.715000	0.028090
1	201	1.0	43.736000	0.028080
1	202	1.0	43.756901	0.028080
1	203	1.0	43.777699	0.028080
1	204	1.0	43.798302	0.028070
1	205	1.0	43.818802	0.028070
1	206	1.0	43.839298	0.028070
1	207	1.0	43.859600	0.028060
1	208	1.0	43.879799	0.028060
1	209	1.0	43.899799	0.028060
1	210	1.0	43.919800	0.028050
1	211	1.0	43.939701	0.028050
1	212	1.0	43.959400	0.028050
1	213	1.0	43.979099	0.028040
1	214	1.0	43.998600	0.028040
1	215	1.0	44.018101	0.028040
1	216	1.0	44.037399	0.028030
1	217	1.0	44.056599	0.028030
1	218	1.0	44.075699	0.028030
1	219	1.0	44.094700	0.028020
1	220	1.0	44.113602	0.028020
1	221	1.0	44.132500	0.028020
1	222	1.0	44.151199	0.028010
1	223	1.0	44.169800	0.028010
1	224	1.0	44.188301	0.028010
1	225	1.0	44.206699	0.028010
1	226	1.0	44.224998	0.028000
1	227	1.0	44.243198	0.028000
1	228	1.0	44.261299	0.028000
1	229	1.0	44.279301	0.028000
1	230	1.0	44.297199	0.027990
1	231	1.0	44.314999	0.027990
1	232	1.0	44.332802	0.027990
1	233	1.0	44.350399	0.027990
1	234	1.0	44.367901	0.027980
1	235	1.0	44.385399	0.027980
1	236	1.0	44.402699	0.027980
1	237	1.0	44.419998	0.027980
1	238	1.0	44.437199	0.027980
1	239	1.0	44.454300	0.027970
1	240	1.0	44.471298	0.027970
1	241	1.0	44.488201	0.027970
1	242	1.0	44.505001	0.027970
1	243	1.0	44.521702	0.027970
1	244	1.0	44.538399	0.027960
1	245	1.0	44.554901	0.027960
1	246	1.0	44.571400	0.027960
1	247	1.0	44.587799	0.027960
1	248	1.0	44.604099	0.027960
1	249	1.0	44.620300	0.027950
1	250	1.0	44.636501	0.027950
1	251	1.0	44.652500	0.027950
1	252	1.0	44.668499	0.027950
1	253	1.0	44.684399	0.027950
1	254	1.0	44.700199	0.027950
1	255	1.0	44.716000	0.027940
1	256	1.0	44.731602	0.027940
1	257	1.0	44.747200	0.027940
1	258	1.0	44.762699	0.027940
1	259	1.0	44.778099	0.027940
1	260	1.0	44.793499	0.027940
1	261	1.0	44.808800	0.027940
1	262	1.0	44.824001	0.027930
1	263	1.0	44.839100	0.027930
1	264	1.0	44.854198	0.027930
1	265	1.0	44.869099	0.027930
1	266	1.0	44.883999	0.027930
1	267	1.0	44.898899	0.027930
1	268	1.0	44.913601	0.027930
1	269	1.0	44.928299	0.027930
1	270	1.0	44.942902	0.027920
1	271	1.0	44.957500	0.027920
1	272	1.0	44.972000	0.027920
1	273	1.0	44.986401	0.027920
1	274	1.0	45.000702	0.027920
1	275	1.0	45.014999	0.027920
1	276	1.0	45.029202	0.027920
1	277	1.0	45.043301	0.027920
1	278	1.0	45.057301	0.027920
1	279	1.0	45.071301	0.027910
1	280	1.0	45.085300	0.027910
1	281	1.0	45.099098	0.027910
1	282	1.0	45.112900	0.027910
1	283	1.0	45.126701	0.027910
1	284	1.0	45.140301	0.027910
1	285	1.0	45.153900	0.027910
1	286	1.0	45.167400	0.027910
1	287	1.0	45.180901	0.027910
1	288	1.0	45.194302	0.027910
1	289	1.0	45.207699	0.027910
1	290	1.0	45.220901	0.027910
1	291	1.0	45.234100	0.027900
1	292	1.0	45.247299	0.027900
1	293	1.0	45.260399	0.027900
1	294	1.0	45.273399	0.027900
1	295	1.0	45.286400	0.027900
1	296	1.0	45.299301	0.027900
1	297	1.0	45.312099	0.027900
1	298	1.0	45.324902	0.027900
1	299	1.0	45.337700	0.027900
1	300	1.0	45.350300	0.027900
1	301	1.0	45.362900	0.027900
1	302	1.0	45.375500	0.027900
1	303	1.0	45.388000	0.027900
1	304	1.0	45.400398	0.027900
1	305	1.0	45.412800	0.027900
1	306	1.0	45.425098	0.027900
1	307	1.0	45.437401	0.027890
1	308	1.0	45.449600	0.027890
1	309	1.0	45.461800	0.027890
1	310	1.0	45.473900	0.027890
1	311	1.0	45.485901	0.027890
1	312	1.0	45.497898	0.027890
1	313	1.0	45.509800	0.027890
1	314	1.0	45.521702	0.027890
1	315	1.0	45.533600	0.027890
1	316	1.0	45.545300	0.027890
1	317	1.0	45.557098	0.027890
1	318	1.0	45.568699	0.027890
1	319	1.0	45.580299	0.027890
1	320	1.0	45.591900	0.027890
1	321	1.0	45.603401	0.027890
1	322	1.0	45.614899	0.027890
1	323	1.0	45.626301	0.027890
1	324	1.0	45.637600	0.027890
1	325	1.0	45.648899	0.027890
1	326	1.0	45.660198	0.027890
1	327	1.0	45.671398	0.027890
1	328	1.0	45.682598	0.027890
1	329	1.0	45.693699	0.027890
1	330	1.0	45.704700	0.027890
1	331	1.0	45.715801	0.027890
1	332	1.0	45.726700	0.027890
1	333	1.0	45.737598	0.027890
1	334	1.0	45.748501	0.027890
1	335	1.0	45.759300	0.027890
1	336	1.0	45.770100	0.027890
1	337	1.0	45.780800	0.027890
1	338	1.0	45.791500	0.027890
1	339	1.0	45.802200	0.027890
1	340	1.0	45.812801	0.027890
1	341	1.0	45.823299	0.027880
1	342	1.0	45.833801	0.027880
1	343	1.0	45.844299	0.027880
1	344	1.0	45.854698	0.027880
1	345	1.0	45.865101	0.027880
1	346	1.0	45.875401	0.027880
1	347	1.0	45.885700	0.027880
1	348	1.0	45.895901	0.027880
1	349	1.0	45.906101	0.027880
1	350	1.0	45.916302	0.027880
1	351	1.0	45.926399	0.027880
1	352	1.0	45.936401	0.027880
1	353	1.0	45.946499	0.027880
1	354	1.0	45.956501	0.027880
1	355	1.0	45.966400	0.027880
1	356	1.0	45.976299	0.027880
1	357	1.0	45.986198	0.027880
1	358	1.0	45.995998	0.027880
1	359	1.0	46.005798	0.027880
1	360	1.0	46.015499	0.027880
1	361	1.0	46.025200	0.027880
1	362	1.0	46.034901	0.027890
1	363	1.0	46.044498	0.027890
1	364	1.0	46.054100	0.027890
1	365	1.0	46.063702	0.027890
1	366	1.0	46.073200	0.027890
1	367	1.0	46.082699	0.027890
1	368	1.0	46.092098	0.027890
1	369	1.0	46.101501	0.027890
1	370	1.0	46.110901	0.027890
1	371	1.0	46.120201	0.027890
1	372	1.0	46.129501	0.027890
1	373	1.0	46.138699	0.027890
1	374	1.0	46.147999	0.027890
1	375	1.0	46.157200	0.027890
1	376	1.0	46.166302	0.027890
1	377	1.0	46.175400	0.027890
1	378	1.0	46.184502	0.027890
1	379	1.0	46.193501	0.027890
1	380	1.0	46.202499	0.027890
1	381	1.0	46.211498	0.027890
1	382	1.0	46.220402	0.027890
1	383	1.0	46.229401	0.027890
1	384	1.0	46.238201	0.027890
1	385	1.0	46.247101	0.027890
1	386	1.0	46.255901	0.027890
1	387	1.0	46.264599	0.027890
1	388	1.0	46.273399	0.027890
1	389	1.0	46.282101	0.027890
1	390	1.0	46.290798	0.027890
1	391	1.0	46.299400	0.027890
1	392	1.0	46.307999	0.027890
1	393	1.0	46.316601	0.027890
1	394	1.0	46.325100	0.027890
1	395	1.0	46.333698	0.027890
1	396	1.0	46.342098	0.027890
1	397	1.0	46.350601	0.027890
1	398	1.0	46.359001	0.027890
1	399	1.0	46.367401	0.027890
1	400	1.0	46.375801	0.027890
1	401	1.0	46.384102	0.027890
1	402	1.0	46.392399	0.027900
1	403	1.0	46.400700	0.027900
1	404	1.0	46.409000	0.027900
1	405	1.0	46.417198	0.027900
1	406	1.0	46.425400	0.027900
1	407	1.0	46.433498	0.027900
1	408	1.0	46.441700	0.027900
1	409	1.0	46.449799	0.027900
1	410	1.0	46.457802	0.027900
1	411	1.0	46.465900	0.027900
1	412	1.0	46.473900	0.027900
1	413	1.0	46.481899	0.027900
1	414	1.0	46.489899	0.027900
1	415	1.0	46.497799	0.027900
1	416	1.0	46.505699	0.027900
1	417	1.0	46.513599	0.027900
1	418	1.0	46.521500	0.027900
1	419	1.0	46.529301	0.027900
1	420	1.0	46.537102	0.027900
1	421	1.0	46.544899	0.027900
1	422	1.0	46.552700	0.027900
1	423	1.0	46.560398	0.027900
1	424	1.0	46.568100	0.027900
1	425	1.0	46.575802	0.027910
1	426	1.0	46.583401	0.027910
1	427	1.0	46.591000	0.027910
1	428	1.0	46.598701	0.027910
1	429	1.0	46.606201	0.027910
1	430	1.0	46.613800	0.027910
1	431	1.0	46.621300	0.027910
1	432	1.0	46.628799	0.027910
1	433	1.0	46.636299	0.027910
1	434	1.0	46.643799	0.027910
1	435	1.0	46.651199	0.027910
1	436	1.0	46.658600	0.027910
1	437	1.0	46.666000	0.027910
1	438	1.0	46.673401	0.027910
1	439	1.0	46.680698	0.027910
1	440	1.0	46.688000	0.027910
1	441	1.0	46.695301	0.027910
1	442	1.0	46.702599	0.027910
1	443	1.0	46.709801	0.027920
1	444	1.0	46.717098	0.027920
1	445	1.0	46.724300	0.027920
1	446	1.0	46.731400	0.027920
1	447	1.0	46.738602	0.027920
1	448	1.0	46.745701	0.027920
1	449	1.0	46.752899	0.027920
1	450	1.0	46.759998	0.027920
1	451	1.0	46.766998	0.027920
1	452	1.0	46.774101	0.027920
1	453	1.0	46.781101	0.027920
1	454	1.0	46.788101	0.027920
1	455	1.0	46.795101	0.027920
1	456	1.0	46.802101	0.027920
1	457	1.0	46.808998	0.027920
1	458	1.0	46.816002	0.027920
1	459	1.0	46.822899	0.027930
1	460	1.0	46.829800	0.027930
1	461	1.0	46.836601	0.027930
1	462	1.0	46.843498	0.027930
1	463	1.0	46.850300	0.027930
1	464	1.0	46.857101	0.027930
1	465	1.0	46.863899	0.027930
1	466	1.0	46.870701	0.027930
1	467	1.0	46.877499	0.027930
1	468	1.0	46.884201	0.027930
1	469	1.0	46.890900	0.027930
1	470	1.0	46.897598	0.027930
1	471	1.0	46.904301	0.027930
1	472	1.0	46.910999	0.027930
1	473	1.0	46.917599	0.027940
1	474	1.0	46.924198	0.027940
1	475	1.0	46.930801	0.027940
1	476	1.0	46.937401	0.027940
1	477	1.0	46.944000	0.027940
1	478	1.0	46.950500	0.027940
1	479	1.0	46.957100	0.027940
1	480	1.0	46.963600	0.027940
1	481	1.0	46.970100	0.027940
1	482	1.0	46.976601	0.027940
1	483	1.0	46.983101	0.027940
1	484	1.0	46.989498	0.027940
1	485	1.0	46.995998	0.027940
1	486	1.0	47.002399	0.027950
1	487	1.0	47.008801	0.027950
1	488	1.0	47.015202	0.027950
1	489	1.0	47.021500	0.027950
1	490	1.0	47.027901	0.027950
1	491	1.0	47.034199	0.027950
1	492	1.0	47.040501	0.027950
1	493	1.0	47.046799	0.027950
1	494	1.0	47.053101	0.027950
1	495	1.0	47.059399	0.027950
1	496	1.0	47.065701	0.027950
1	497	1.0	47.071899	0.027950
1	498	1.0	47.078098	0.027950
1	499	1.0	47.084301	0.027960
1	500	1.0	47.090500	0.027960
1	501	1.0	47.096699	0.027960
1	502	1.0	47.102901	0.027960
1	503	1.0	47.109001	0.027960
1	504	1.0	47.115200	0.027960
1	505	1.0	47.121300	0.027960
1	506	1.0	47.127399	0.027960
1	507	1.0	47.133499	0.027960
1	508	1.0	47.139599	0.027960
1	509	1.0	47.145599	0.027960
1	510	1.0	47.151699	0.027960
1	511	1.0	47.157700	0.027970
1	512	1.0	47.163700	0.027970
1	513	1.0	47.169701	0.027970
1	514	1.0	47.175701	0.027970
1	515	1.0	47.181702	0.027970
1	516	1.0	47.187698	0.027970
1	517	1.0	47.193600	0.027970
1	518	1.0	47.199501	0.027970
1	519	1.0	47.205502	0.027970
1	520	1.0	47.211399	0.027970
1	521	1.0	47.217300	0.027970
1	522	1.0	47.223202	0.027970
1	523	1.0	47.229000	0.027980
1	524	1.0	47.234901	0.027980
1	525	1.0	47.240700	0.027980
1	526	1.0	47.246601	0.027980
1	527	1.0	47.252399	0.027980
1	528	1.0	47.258202	0.027980
1	529	1.0	47.264000	0.027980
1	530	1.0	47.269798	0.027980
1	531	1.0	47.275501	0.027980
1	532	1.0	47.281300	0.027980
1	533	1.0	47.286999	0.027980
1	534	1.0	47.292801	0.027990
1	535	1.0	47.298500	0.027990
1	536	1.0	47.304199	0.027990
1	537	1.0	47.309898	0.027990
1	538	1.0	47.315601	0.027990
1	539	1.0	47.321301	0.027990
1	540	1.0	47.326900	0.027990
1	541	1.0	47.332600	0.027990
1	542	1.0	47.338200	0.027990
1	543	1.0	47.343800	0.027990
1	544	1.0	47.349400	0.028000
1	545	1.0	47.355099	0.028000
1	546	1.0	47.360600	0.028000
1	547	1.0	47.366199	0.028000
1	548	1.0	47.371799	0.028000
1	549	1.0	47.377399	0.028000
1	550	1.0	47.382900	0.028000
1	551	1.0	47.388401	0.028000
1	552	1.0	47.394001	0.028000
1	553	1.0	47.399502	0.028000
1	554	1.0	47.404999	0.028000
1	555	1.0	47.410500	0.028010
1	556	1.0	47.416000	0.028010
1	557	1.0	47.421501	0.028010
1	558	1.0	47.426899	0.028010
1	559	1.0	47.432400	0.028010
1	560	1.0	47.437801	0.028010
1	561	1.0	47.443199	0.028010
1	562	1.0	47.448700	0.028010
1	563	1.0	47.454102	0.028010
1	564	1.0	47.459499	0.028010
1	565	1.0	47.464901	0.028020
1	566	1.0	47.470299	0.028020
1	567	1.0	47.475601	0.028020
1	568	1.0	47.480999	0.028020
1	569	1.0	47.486301	0.028020
1	570	1.0	47.491699	0.028020
1	571	1.0	47.497002	0.028020
1	572	1.0	47.502300	0.028020
1	573	1.0	47.507702	0.028020
1	574	1.0	47.513000	0.028020
1	575	1.0	47.518299	0.028030
1	576	1.0	47.523602	0.028030
1	577	1.0	47.528801	0.028030
1	578	1.0	47.534100	0.028030
1	579	1.0	47.539398	0.028030
1	580	1.0	47.544601	0.028030
1	581	1.0	47.549801	0.028030
1	582	1.0	47.555099	0.028030
1	583	1.0	47.560299	0.028030
1	584	1.0	47.565498	0.028040
1	585	1.0	47.570702	0.028040
1	586	1.0	47.575901	0.028040
1	587	1.0	47.581100	0.028040
1	588	1.0	47.586300	0.028040
1	589	1.0	47.591499	0.028040
1	590	1.0	47.596600	0.028040
1	591	1.0	47.601799	0.028040
1	592	1.0	47.606899	0.028040
1	593	1.0	47.612000	0.028050
1	594	1.0	47.617199	0.028050
1	595	1.0	47.622299	0.028050
1	596	1.0	47.627399	0.028050
1	597	1.0	47.632500	0.028050
1	598	1.0	47.637600	0.028050
1	599	1.0	47.642700	0.028050
1	600	1.0	47.647800	0.028050
1	601	1.0	47.652802	0.028050
1	602	1.0	47.657902	0.028050
1	603	1.0	47.662998	0.028060
1	604	1.0	47.667999	0.028060
1	605	1.0	47.673000	0.028060
1	606	1.0	47.678101	0.028060
1	607	1.0	47.683102	0.028060
1	608	1.0	47.688099	0.028060
1	609	1.0	47.693100	0.028060
1	610	1.0	47.698101	0.028060
1	611	1.0	47.703098	0.028060
1	612	1.0	47.708099	0.028070
1	613	1.0	47.713100	0.028070
1	614	1.0	47.717999	0.028070
1	615	1.0	47.723000	0.028070
1	616	1.0	47.728001	0.028070
1	617	1.0	47.732899	0.028070
1	618	1.0	47.737801	0.028070
1	619	1.0	47.742802	0.028070
1	620	1.0	47.747700	0.028080
1	621	1.0	47.752602	0.028080
1	622	1.0	47.757500	0.028080
1	623	1.0	47.762402	0.028080
1	624	1.0	47.767300	0.028080
1	625	1.0	47.772202	0.028080
1	626	1.0	47.777100	0.028080
1	627	1.0	47.782001	0.028080
1	628	1.0	47.786800	0.028080
1	629	1.0	47.791698	0.028090
1	630	1.0	47.796501	0.028090
1	631	1.0	47.801399	0.028090
1	632	1.0	47.806198	0.028090
1	633	1.0	47.811001	0.028090
1	634	1.0	47.815899	0.028090
1	635	1.0	47.820702	0.028090
1	636	1.0	47.825500	0.028090
1	637	1.0	47.830299	0.028100
1	638	1.0	47.835098	0.028100
1	639	1.0	47.839901	0.028100
1	640	1.0	47.844601	0.028100
1	641	1.0	47.849400	0.028100
1	642	1.0	47.854198	0.028100
1	643	1.0	47.859001	0.028100
1	644	1.0	47.863701	0.028100
1	645	1.0	47.868500	0.028100
1	646	1.0	47.873199	0.028110
1	647	1.0	47.877899	0.028110
1	648	1.0	47.882702	0.028110
1	649	1.0	47.887402	0.028110
1	650	1.0	47.892101	0.028110
1	651	1.0	47.896801	0.028110
1	652	1.0	47.901501	0.028110
1	653	1.0	47.906200	0.028110
1	654	1.0	47.910900	0.028120
1	655	1.0	47.915600	0.028120
1	656	1.0	47.920200	0.028120
1	657	1.0	47.924900	0.028120
1	658	1.0	47.929600	0.028120
1	659	1.0	47.934200	0.028120
1	660	1.0	47.938900	0.028120
1	661	1.0	47.943501	0.028120
1	662	1.0	47.948200	0.028130
1	663	1.0	47.952801	0.028130
1	664	1.0	47.957401	0.028130
1	665	1.0	47.962002	0.028130
1	666	1.0	47.966599	0.028130
1	667	1.0	47.971298	0.028130
1	668	1.0	47.975899	0.028130
1	669	1.0	47.980400	0.028130
1	670	1.0	47.985001	0.028140
1	671	1.0	47.989601	0.028140
1	672	1.0	47.994202	0.028140
1	673	1.0	47.998798	0.028140
1	674	1.0	48.003300	0.028140
1	675	1.0	48.007900	0.028140
1	676	1.0	48.012402	0.028140
1	677	1.0	48.016998	0.028140
1	678	1.0	48.021500	0.028150
1	679	1.0	48.026001	0.028150
1	680	1.0	48.030602	0.028150
1	681	1.0	48.035099	0.028150
1	682	1.0	48.039600	0.028150
1	683	1.0	48.044102	0.028150
1	684	1.0	48.048599	0.028150
1	685	1.0	48.053101	0.028150
1	686	1.0	48.057598	0.028160
1	687	1.0	48.062099	0.028160
1	688	1.0	48.066601	0.028160
1	689	1.0	48.070999	0.028160
1	690	1.0	48.075500	0.028160
1	691	1.0	48.080002	0.028160
1	692	1.0	48.084400	0.028160
1	693	1.0	48.088902	0.028160
1	694	1.0	48.093300	0.028170
1	695	1.0	48.097698	0.028170
1	696	1.0	48.102200	0.028170
1	697	1.0	48.106602	0.028170
1	698	1.0	48.111000	0.028170
1	699	1.0	48.115398	0.028170
1	700	1.0	48.119801	0.028170
1	701	1.0	48.124199	0.028170
1	702	1.0	48.128601	0.028180
1	703	1.0	48.132999	0.028180
1	704	1.0	48.137402	0.028180
1	705	1.0	48.141800	0.028180
1	706	1.0	48.146198	0.028180
1	707	1.0	48.150501	0.028180
1	708	1.0	48.154900	0.028180
1	709	1.0	48.159199	0.028190
1	710	1.0	48.163601	0.028190
1	711	1.0	48.167900	0.028190
1	712	1.0	48.172298	0.028190
1	713	1.0	48.176601	0.028190
1	714	1.0	48.180901	0.028190
1	715	1.0	48.185299	0.028190
1	716	1.0	48.189602	0.028190
1	717	1.0	48.193901	0.028200
1	718	1.0	48.198200	0.028200
1	719	1.0	48.202499	0.028200
1	720	1.0	48.206799	0.028200
1	721	1.0	48.211102	0.028200
1	722	1.0	48.215302	0.028200
1	723	1.0	48.219601	0.028200
1	724	1.0	48.223900	0.028200
1	725	1.0	48.228199	0.028210
1	726	1.0	48.232399	0.028210
1	727	1.0	48.236698	0.028210
1	728	1.0	48.240898	0.028210
1	729	1.0	48.245201	0.028210
1	730	1.0	48.249401	0.028210
1	731	1.0	48.253601	0.028210
1	732	1.0	48.257900	0.028220
1	733	1.0	48.262100	0.028220
1	734	1.0	48.266300	0.028220
1	735	1.0	48.270500	0.028220
1	736	1.0	48.274700	0.028220
1	737	1.0	48.278900	0.028220
1	738	1.0	48.283100	0.028220
1	739	1.0	48.287300	0.028230
1	740	1.0	48.291500	0.028230
1	741	1.0	48.295601	0.028230
1	742	1.0	48.299801	0.028230
1	743	1.0	48.304001	0.028230
1	744	1.0	48.308102	0.028230
1	745	1.0	48.312302	0.028230
1	746	1.0	48.316399	0.028230
1	747	1.0	48.320599	0.028240
1	748	1.0	48.324699	0.028240
1	749	1.0	48.328800	0.028240
1	750	1.0	48.333000	0.028240
1	751	1.0	48.337101	0.028240
1	752	1.0	48.341202	0.028240
1	753	1.0	48.345299	0.028240
1	754	1.0	48.349400	0.028250
1	755	1.0	48.353500	0.028250
1	756	1.0	48.357601	0.028250
1	757	1.0	48.361698	0.028250
1	758	1.0	48.365799	0.028250
1	759	1.0	48.369900	0.028250
1	760	1.0	48.373901	0.028250
1	761	1.0	48.377998	0.028250
1	762	1.0	48.382099	0.028260
1	763	1.0	48.386101	0.028260
1	764	1.0	48.390202	0.028260
1	765	1.0	48.394199	0.028260
1	766	1.0	48.398201	0.028260
1	767	1.0	48.402302	0.028260
1	768	1.0	48.406300	0.028260
1	769	1.0	48.410301	0.028270
1	770	1.0	48.414299	0.028270
1	771	1.0	48.418400	0.028270
1	772	1.0	48.422401	0.028270
1	773	1.0	48.426399	0.028270
1	774	1.0	48.430401	0.028270
1	775	1.0	48.434299	0.028270
